title,year,km,currency,price,location,link,ratio,model,type
Bmw Serie 2 3.0 240i M Package,2020,2000,U$S,62900,Pilar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-909725449-bmw-serie-2-30-240i-m-package-2020-_JM#position=13&search_layout=grid&type=item&tracking_id=170d3f83-75bf-4ac6-a8de-6804cea4eee0,"16,06",240,i
Bmw Serie 3 3.0 330i Sedan Sport Line 252cv,2019,2000,U$S,62900,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-921091825-bmw-serie-3-30-330i-sedan-sport-line-252cv-2019-_JM#position=41&search_layout=grid&type=item&tracking_id=6bfc6833-d49d-4746-947d-95813794a62f,"16,05",330,i
Bmw Serie 1 Serie 1 M135i Xdrive,2020,2000,U$S,69000,Escobar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-914716902-bmw-serie-1-serie-1-m135i-xdrive-_JM#position=47&search_layout=grid&type=item&tracking_id=60b6d52f-3f76-4539-85a0-b29f08279192,"14,64",135,i
Bmw Serie 3 2.0 318is Sedan,1992,11111,U$S,12904,Quilmes - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-919004127-bmw-serie-3-20-318is-sedan-1992-_JM#position=44&search_layout=grid&type=item&tracking_id=71056db2-c4a2-450a-bc98-7ecd0fd27254,"13,89",318,i
Bmw X6 3.0 Xdrive 35i Pure Extravagance,2019,1500,U$S,110000,Morón - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-834057039-bmw-x6-30-xdrive-35i-pure-extravagance-2019-_JM#position=48&search_layout=grid&type=item&tracking_id=0bc28108-d04c-4f57-b68f-c1564036a831,"12,24",,
Bmw X6 3.0 Xdrive 35i Pure Extravagance,2019,1500,U$S,110000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-897707627-bmw-x6-30-xdrive-35i-pure-extravagance-ano2019-_JM#position=21&search_layout=grid&type=item&tracking_id=e22ca731-c96c-4070-b63d-ebc99635b37e,"12,24",,
Bmw Serie 1 2.0 Turbo 306cv,2020,2500,U$S,69999,Lomas de Zamora - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-921699403-bmw-serie-1-135-xdrive-_JM#position=48&search_layout=grid&type=item&tracking_id=21213f76-38ed-451e-8523-06fee6ba6f3a,"11,54",,
Bmw X4 Nueva,2020,1800,U$S,99000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-913604869-bmw-x4-30i-xdrive-nueva-linea-_JM#position=31&search_layout=grid&type=item&tracking_id=21213f76-38ed-451e-8523-06fee6ba6f3a,"11,34",,
Bmw Serie 2 3.0 240i M Package,2018,3300,U$S,55900,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-918288791-bmw-serie-2-30-240i-m-package-2018-_JM#position=33&search_layout=grid&type=item&tracking_id=ec3dd237-0871-42cc-9a25-3deed57b2575,"10,94",240,i
Bmw Serie 4 M4,2019,1500,U$S,125000,Ituzaingó - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-916251022-bmw-m4-_JM#position=48&search_layout=grid&type=item&tracking_id=e8dc6f13-bc48-47fa-823f-600e0520df0e,"10,77",,
