title,year,km,currency,price,location,link,ratio
Ford Fiesta Kinetic Design 1.6 Design 120cv Titanium,2011,107500,U$S,5612,La Matanza - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-919896743-ford-fiesta-kinetic-design-16-design-120cv-titanium-2011-_JM#position=7&search_layout=grid&type=item&tracking_id=a4ef8267-904f-4f84-9558-1a77960a8b08,3.3333885859205354
Ford Fiesta Kinetic Design 1.6 Se 120cv,2013,150000,U$S,6451,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-915938009-ford-fiesta-se-plus-2013-_JM#position=8&search_layout=grid&type=item&tracking_id=a4ef8267-904f-4f84-9558-1a77960a8b08,2.080297628274686
Ford Fiesta Kinetic Design 1.6 Design 120cv Titanium,2014,66500,U$S,8064,Castelar - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-921368178-ford-fiesta-kinetic-design-16-design-120cv-titanium-2014-_JM#position=9&search_layout=grid&type=item&tracking_id=a4ef8267-904f-4f84-9558-1a77960a8b08,3.7556689342403624
Ford Fiesta Kinetic Titanium,2013,70000,U$S,7290,San Miguel de Tucumán - Tucumán,https://auto.mercadolibre.com.ar/MLA-921584355-ford-fiesta-kinetic-titanium-_JM#position=10&search_layout=grid&type=item&tracking_id=a4ef8267-904f-4f84-9558-1a77960a8b08,3.9447383891828336
Ford Fiesta Kinetic Desing,2012,87700,U$S,6161,Tigre - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-915677141-ford-fiesta-kinetic-desing-_JM#position=11&search_layout=grid&type=item&tracking_id=a4ef8267-904f-4f84-9558-1a77960a8b08,3.723721344974096
Ford Fiesta Kinetic Design 1.6 Titanium 120cv,2014,82000,U$S,8000,Lanús - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-920024807-ford-fiesta-kinetic-design-16-titanium-120cv-2014-_JM#position=12&search_layout=grid&type=item&tracking_id=a4ef8267-904f-4f84-9558-1a77960a8b08,3.070121951219512
Ford Fiesta Kinetic Design 1.6 Design 120cv Titanium,2012,98000,U$S,6445,Quilmes - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-917323610-ford-fiesta-kinetic-design-16-design-120cv-titanium-2012-_JM#position=13&search_layout=grid&type=item&tracking_id=a4ef8267-904f-4f84-9558-1a77960a8b08,3.1855100457560837
Ford Fiesta Kinetic Design 1.6 Design 120cv Titanium,2013,48000,U$S,8263,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-912859266-ford-fiesta-kinetic-design-16-design-120cv-titanium-2013-_JM#position=14&search_layout=grid&type=item&tracking_id=a4ef8267-904f-4f84-9558-1a77960a8b08,5.075335834442696
Ford Fiesta Kinetic Design 1.6 Design 120cv Titanium,2014,71000,U$S,8387,José C. Paz - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-908704877-ford-fiesta-kinetic-design-16-design-120cv-titanium-2014-_JM#position=15&search_layout=grid&type=item&tracking_id=a4ef8267-904f-4f84-9558-1a77960a8b08,3.382162535244854
Ford Fiesta Kinetic Design 1.6 Design Sedan 120cv Trend,2011,128000,U$S,6064,Pinamar - Bs.As. Costa Atlántica,https://auto.mercadolibre.com.ar/MLA-921513139-ford-fiesta-kinetic-design-16-design-sedan-120cv-trend-2011-_JM#position=16&search_layout=grid&type=item&tracking_id=a4ef8267-904f-4f84-9558-1a77960a8b08,2.5908538093667546
