title,year,km,currency,price,location,link,ratio,brand,model
Renault Mégane Ii 1.6 L Confort Plus,2009,85000,U$S,4335,Centro - Córdoba,https://auto.mercadolibre.com.ar/MLA-923374859-renault-megane-2-confort-plus-2009-85mil-km-2do-dueno-unico-_JM#position=8&search_layout=grid&type=item&tracking_id=290bdbf0-1a34-4432-9258-43f28011756a,5.452201641902436,Renault,Mégane
Fiat Siena 1.4 El Pack Attractive 115 Hp,2016,89000,U$S,5144,Alta Córdoba - Córdoba,https://auto.mercadolibre.com.ar/MLA-922668022-fiat-siena-14-el-2016-c-gnc-_JM#position=9&search_layout=grid&type=item&tracking_id=290bdbf0-1a34-4432-9258-43f28011756a,4.4035158229507045,Fiat,Siena
Toyota Corolla 1.8 Xei At 136cv,2013,75000,U$S,7514,Córdoba,https://auto.mercadolibre.com.ar/MLA-921138930-toyota-corolla-18-xei-at-136cv-2013-_JM#position=10&search_layout=grid&type=item&tracking_id=290bdbf0-1a34-4432-9258-43f28011756a,3.5719989353207344,Toyota,Corolla
Volkswagen Bora 2.0 Trendline 115cv Tiptronic,2013,161000,U$S,6358,Córdoba,https://auto.mercadolibre.com.ar/MLA-920937543-volkswagen-bora-20-trendline-115cv-tiptronic-2013-_JM#position=11&search_layout=grid&type=item&tracking_id=290bdbf0-1a34-4432-9258-43f28011756a,1.966515506458338,Volkswagen,Bora
Toyota Etios 1.5 Sedan Xls,2014,146000,U$S,5491,Córdoba,https://auto.mercadolibre.com.ar/MLA-919907622-toyota-etios-15-sedan-xls-2014-_JM#position=12&search_layout=grid&type=item&tracking_id=290bdbf0-1a34-4432-9258-43f28011756a,2.512205526852159,Toyota,Etios
Toyota Corolla 1.8 Xei Cvt 140cv,2016,131000,U$S,11200,Córdoba,https://auto.mercadolibre.com.ar/MLA-925679342-toyota-corolla-18-xei-cvt-140cv-2016-_JM#position=13&search_layout=grid&type=item&tracking_id=290bdbf0-1a34-4432-9258-43f28011756a,1.3740458015267176,Toyota,Corolla
Peugeot 307 1.6 Sedan Xr 110cv,2009,120000,U$S,5202,Tercero Arriba,https://auto.mercadolibre.com.ar/MLA-921447291-peugeot-307-16-sedan-xr-110cv-2009-_JM#position=14&search_layout=grid&type=item&tracking_id=290bdbf0-1a34-4432-9258-43f28011756a,3.2183134691785207,Peugeot,307
Toyota Etios 1.5 Sedan Xls L18,2018,33000,U$S,8845,Punilla,https://auto.mercadolibre.com.ar/MLA-926463001-toyota-etios-15-sedan-xls-l18-2018-_JM#position=15&search_layout=grid&type=item&tracking_id=290bdbf0-1a34-4432-9258-43f28011756a,6.913681758226699,Toyota,Etios
Toyota Corolla 1.8 Xei Mt Pack 136cv,2012,129000,U$S,7514,Villa Carlos Paz,https://auto.mercadolibre.com.ar/MLA-924353052-toyota-corolla-18-xei-mt-pack-136cv-2012-_JM#position=16&search_layout=grid&type=item&tracking_id=290bdbf0-1a34-4432-9258-43f28011756a,2.075711901092122,Toyota,Corolla
Audi A3 1.4 Tfsi Sedan 150 Cv,2017,35000,U$S,25000,Córdoba,https://auto.mercadolibre.com.ar/MLA-927313938-audi-a3-14-tfsi-sedan-150-cv-2017-_JM#position=17&search_layout=grid&type=item&tracking_id=290bdbf0-1a34-4432-9258-43f28011756a,2.305142857142857,Audi,A3
Mercedes-benz Clase E 3.5 E350 Avantgarde Sport B.eff At,2014,82000,U$S,35000,Río Cuarto,https://auto.mercadolibre.com.ar/MLA-920135008-mercedes-benz-clase-e-35-e350-avantgarde-sport-beff-at-_JM#position=18&search_layout=grid&type=item&tracking_id=290bdbf0-1a34-4432-9258-43f28011756a,0.7017421602787457,Mercedes-benz,Clase
